id,name,x,y,z,vx,vy,vz,mag,ci,dist
0,Sol,0.000005,0.0,0.0,0.0,0.0,0.0,-26.7,0.656,0.0
2,,45.210918,0.003365,-16.008996,-0.00000007,0.00004213,-0.0000002,9.27,0.999,47.9616
18,,44.710745,0.041225,-3.168578,0.00000039,-0.00002764,0.00000515,11.03,1.567,44.8229
38,,8.026508,0.015848,-41.532715,-0.00001263,0.00003326,-0.00000243,8.65,0.778,42.3012
47,,22.291838,0.052522,-34.111837,-0.00002411,-0.00000879,-0.00001577,10.78,1.15,40.7498
57,,10.374188,0.030419,-28.00908,-0.00000916,-0.00000596,-0.0000034,8.27,0.863,29.8686
58,,18.112462,0.054853,34.318498,0.00001497,-0.00000879,0.00001062,7.05,0.52,38.8048
68,,30.206989,0.105644,9.228456,-0.00000723,-0.00001529,-0.0000528,8.79,0.94,31.5856
74,,36.132732,0.140219,26.014553,0.00000495,0.00003406,-0.00000706,9.93,1.068,44.5236
81,,43.620267,0.185316,-3.764562,-0.00000247,-0.00003921,-0.00003656,8.57,0.642,43.7828
84,,42.229742,0.186052,22.346816,0.00000036,0.00005224,-0.00000112,9.61,0.852,47.7783
96,,34.108524,0.181537,8.48858,-0.00000577,0.00000348,0.00002312,10.46,1.36,35.1494
110,,38.232255,0.232625,31.641104,0.0000067,-0.00000716,-0.0000074,8.61,0.787,49.6278
111,,31.80371,0.194195,21.680663,0.00000021,0.0000482,-0.00000073,11.28,1.308,38.4911
112,GJ 1293,30.727669,0.191824,-9.364349,-0.00000404,0.00004654,-0.00004038,10.76,1.384,32.1234
144,,42.378277,0.337022,16.661744,-0.00001244,0.00003919,0.00003086,10.35,1.033,45.5373
148,GJ 9848,40.907216,0.341175,19.956055,0.00006138,-0.00006781,-0.00012466,11.26,0.932,45.5166
169,GJ 1294A,5.67201,0.053101,-14.239841,-0.00001614,0.00001526,-0.00000637,9.24,1.39,15.328
171,85    Peg,10.834733,0.102555,5.540428,-0.00000999,0.00004584,-0.00006577,5.8,0.69,12.1699
184,,30.616154,0.315156,5.954951,0.00000125,-0.00000039,-0.00000641,8.48,0.888,31.1915
191,,26.640676,0.285018,-27.616666,-0.00000339,0.00003575,-0.0000029,12.43,1.49,38.373
194,32    Psc,36.494389,0.397318,5.44498,0.00001155,-0.00001661,-0.00000689,5.7,0.315,36.9004
224,,42.593097,0.517843,1.584382,0.00000054,0.00001287,-0.00001884,7.17,0.617,42.6257
263,,29.10489,0.421232,2.386423,0.00000104,-0.00000345,-0.00001205,12.04,1.473,29.2056
296,,34.224354,0.551293,-18.504503,-0.00001369,0.00005265,-0.00002375,8.24,0.78,38.9105
305,,41.255768,0.700176,-22.304365,-0.00000225,0.00002011,-0.00000354,7.66,0.741,46.9043
350,,25.778783,0.494592,-40.196984,0.00001463,-0.00000826,0.00000928,10.37,1.1,47.7555
351,,30.293734,0.58361,-32.569547,0.00000411,0.00006332,0.00000495,9.8,0.855,44.484
375,,23.934179,0.487833,16.312653,0.00000438,0.00001742,-0.00000695,9.08,,28.9687
394,GJ 3002,32.224052,0.688502,22.28464,-0.00000859,0.00014595,0.00001942,6.09,0.632,39.185
400,GJ 3003,24.239722,0.522425,10.426465,-0.00000068,0.00004889,-0.00000088,7.82,0.755,26.3922
407,,14.65166,0.318331,-40.733913,-0.00001953,0.00001056,-0.00000694,8.13,0.71,43.29
420,,25.709064,0.574993,-33.094618,-0.00002047,-0.00002292,-0.0000163,7.53,0.577,41.9111
428,Gl 2,7.843761,0.177365,8.064194,0.00000491,0.00004756,-0.00000567,9.95,1.472,11.2511
435,Gl 3,5.993342,0.138488,-14.714076,-0.00002396,-0.00000958,-0.00005513,8.49,1.076,15.8881
441,33    Psc,39.287997,0.914841,-3.927804,-0.00000439,-0.00000169,0.00001741,4.61,1.029,39.4945
442,Gl 1,3.448844,0.081384,-2.633508,-0.00001398,0.00011824,-0.00005331,8.56,1.462,4.3399
459,,41.856365,1.001171,17.107033,0.00000534,0.00003731,-0.00001526,9.13,0.735,45.2284
472,Gl 4A,7.878784,0.195428,8.107843,0.000005,0.0000483,-0.00000573,8.2,1.41,11.3071
489,,29.372878,0.753219,-26.227741,-0.00000775,0.00001845,-0.00001306,7.51,0.595,39.3856
491,,35.25677,0.909757,11.619575,0.00000913,-0.00002693,-0.00002559,7.45,0.596,37.1333
494,,35.301584,0.912771,11.525733,-0.00003433,-0.0000279,-0.00003933,8.58,0.92,37.1471
517,Gl 4.1A,11.23803,0.307211,18.300258,-0.00000849,0.00002553,-0.00000914,5.98,0.687,21.4777
521,Gl 4.2A,16.837769,0.46441,-19.42844,-0.00000399,0.00007162,-0.00000527,5.7,0.519,25.7136
522,GJ 3006,6.835774,0.188543,-15.24491,-0.00004125,0.00001473,-0.00001832,12.17,1.55,16.7084
543,Gl 5,11.948982,0.344882,6.632053,0.00000009,0.00002519,-0.00001306,6.07,0.752,13.6705
559,,36.209605,1.080174,-15.457211,-0.00000126,0.00001855,-0.00000947,6.19,0.386,39.3856
569,,29.715836,0.897936,-17.587873,0.00000025,0.00000256,0.00000056,12.19,,34.5423
615,GJ 9003,30.215476,0.994741,-13.345633,-0.00003874,0.00004998,0.0000325,8.7,0.798,33.0469
640,,27.626651,0.948824,40.336811,-0.00000336,0.00004811,0.00000117,7.82,0.61,48.8998
668,,26.511674,0.957394,-7.021385,-0.0000003,-0.00000167,-0.00000138,7.04,0.624,27.4424
676,Alpheratz,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,2.07,-0.038,29.7442
680,,38.791217,1.427339,4.502872,-0.00000455,0.00001637,-0.00000063,7.59,0.626,39.0778
685,GJ 3008,20.736513,0.765325,6.51252,0.00000237,-0.00000968,-0.0000064,10.73,1.46,21.7486
697,Gl 6,26.020663,0.986231,19.357659,-0.0000001,-0.00001806,-0.000025,6.21,0.504,32.4465
721,,12.087555,0.472486,27.763257,-0.00002617,0.00002466,-0.00005562,8.57,0.885,30.2847
730,,37.599665,1.485229,19.715126,-0.00001582,0.00004539,0.00002675,11.65,1.26,42.4809
736,Gl 7,20.852074,0.825903,-10.689089,0.00000142,0.00007924,0.00000889,11.73,1.493,23.4467
744,Caph,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,2.28,0.38,16.7842
763,Eps Phe,30.82377,1.266396,-31.665333,-0.00003526,0.00002475,-0.0000202,3.88,1.013,44.2087
785,,34.423962,1.462481,-21.384253,-0.00001533,0.00007885,-0.00004644,9.53,0.965,40.5515
895,GJ 3011,25.383037,1.227767,-2.574146,-0.00000669,0.0000314,0.00000179,10.86,1.418,25.5428
896,,42.76476,2.068569,3.903101,-0.00000358,0.00005011,0.00001269,11.55,1.395,42.9923
908,6    Cet,18.046958,0.887717,-5.000042,0.00000823,-0.00000726,-0.00002757,4.89,0.487,18.7477
914,GJ 3012,14.7174,0.729614,23.905324,-0.00000411,0.00003162,0.00000157,9.5,1.254,28.082
917,,29.446399,1.462575,17.331704,-0.0000076,0.0000346,0.00000333,7.95,0.755,34.1997
933,,20.364645,1.031323,-31.97324,-0.00001161,0.0000243,-0.00000661,9.04,0.891,37.9219
941,,46.106561,2.340541,8.413357,0.00000249,-0.00000838,-0.00001129,8.61,0.643,46.9263
946,,26.073689,1.331571,-21.315629,-0.00001929,0.00012007,-0.0000161,9.92,1.071,33.7041
948,The Scl,17.377471,0.890451,-12.244148,-0.00000543,0.00001718,0.00001754,5.24,0.459,21.2766
972,,23.43762,1.235191,12.00974,0.00000289,0.00003643,-0.00000938,8.73,1.045,26.3644
997,,39.640213,2.165087,10.313907,0.00000007,0.00006408,-0.00001372,8.44,0.739,41.0172
1001,,41.347766,2.265891,-24.743849,-0.00002678,-0.00000466,-0.00004518,8.66,0.743,48.2393
1004,,25.919321,1.421723,10.337108,0.00001309,0.00002637,-0.00003646,11.67,1.48,27.9408
1029,,10.708246,0.600442,-17.105583,0.00000355,-0.0000113,0.00000182,7.22,0.775,20.1898
1042,,28.039042,1.597439,-28.258338,-0.00002339,-0.00001251,-0.00002392,10.74,1.308,39.8406
1053,,38.751399,2.226395,14.421735,-0.00000299,0.0000448,0.00000111,10.41,1.36,41.4079
